frame.number,frame.time_relative,frame.time_epoch,frame.len,frame.protocols,eth.type,ip.src,ip.dst,ip.ttl,ip.flags.df,tcp.stream,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,http.request.method,http.request.uri,http.response.code,http.request_in,http.response_in,tls.handshake.type,tls.handshake.extensions.supported_version,tls.handshake.ciphersuite
71,20.060863200,1789973484.870460600,66,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,3,443,65257,0x0012,0,1,0,,,,,,,,,,
72,20.060922100,1789973484.870519500,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,3,65257,443,0x0010,1,1,0,,,,,,,,,,
73,20.061576400,1789973484.871173800,1581,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,3,65257,443,0x0018,1,1,1527,,,,,,,,1,0x0304,0x1302
74,20.214298300,1789973485.023895700,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,3,443,65257,0x0010,1,1528,0,,,,,,,,,,
75,20.215284100,1789973485.024881500,1514,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,3,443,65257,0x0010,1,1528,1460,,,,,,,,2,0x0304,0x1302
76,20.215284700,1789973485.024882100,1514,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,3,443,65257,0x0018,1461,1528,1460,,,,,,,,,,
77,20.215307500,1789973485.024904900,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,3,65257,443,0x0010,1528,2921,0,,,,,,,,,,
78,20.215530400,1789973485.025127800,1230,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,3,443,65257,0x0018,2921,1528,1176,,,,,,,,,,
79,20.215534000,1789973485.025131400,836,eth:ethertype:ip:tcp:tls:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:tls:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:tls,0x0800,46.225.13.27,192.168.1.152,50,True,3,443,65257,0x0018,4097,1528,782,,,,,,,,11,,
80,20.215538300,1789973485.025135700,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,3,65257,443,0x0010,1528,4879,0,,,,,,,,,,
81,20.219153100,1789973485.028750500,134,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,3,65257,443,0x0018,1528,4879,80,,,,,,,,20,,
82,20.219229500,1789973485.028826900,485,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,3,65257,443,0x0018,1608,4879,431,,,,,,,,,,
83,20.219244000,1789973485.028841400,204,eth:ethertype:ip:tcp:tls:http:json,0x0800,192.168.1.152,46.225.13.27,128,True,3,65257,443,0x0018,2039,4879,150,,,POST,/mcp,,,87,,,
84,20.372650400,1789973485.182247800,357,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,3,443,65257,0x0018,4879,2189,303,,,,,,,,4,,
85,20.372651200,1789973485.182248600,341,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,3,443,65257,0x0018,5182,2189,287,,,,,,,,4,,
86,20.372681100,1789973485.182278500,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,3,65257,443,0x0010,2189,5469,0,,,,,,,,,,
87,20.376359100,1789973485.185956500,568,eth:ethertype:ip:tcp:tls:http:json,0x0800,46.225.13.27,192.168.1.152,50,True,3,443,65257,0x0018,5469,2189,514,,,,/mcp,200,83,,,,
88,20.376638400,1789973485.186235800,78,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,3,443,65257,0x0018,5983,2189,24,,,,,,,,,,
89,20.376652100,1789973485.186249500,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,3,65257,443,0x0010,2189,6007,0,,,,,,,,,,
90,20.376754100,1789973485.186351500,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,3,65257,443,0x0014,2189,6007,0,,,,,,,,,,
91,20.376877100,1789973485.186474500,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,3,443,65257,0x0011,6007,2189,0,,,,,,,,,,
92,20.378020800,1789973485.187618200,66,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,4,65258,443,0x0002,0,0,0,,,,,,,,,,
93,20.537179100,1789973485.346776500,66,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0012,0,1,0,,,,,,,,,,
94,20.537231700,1789973485.346829100,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,4,65258,443,0x0010,1,1,0,,,,,,,,,,
95,20.537585900,1789973485.347183300,1581,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,4,65258,443,0x0018,1,1,1527,,,,,,,,1,0x0304,0x1302
96,20.700978400,1789973485.510575800,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0010,1,1528,0,,,,,,,,,,
97,20.701654500,1789973485.511251900,1514,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0010,1,1528,1460,,,,,,,,2,0x0304,0x1302
98,20.701655000,1789973485.511252400,1514,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0018,1461,1528,1460,,,,,,,,,,
99,20.701675900,1789973485.511273300,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,4,65258,443,0x0010,1528,2921,0,,,,,,,,,,
100,20.701945800,1789973485.511543200,1230,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0018,2921,1528,1176,,,,,,,,,,
101,20.701947400,1789973485.511544800,838,eth:ethertype:ip:tcp:tls:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:tls:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:tls,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0018,4097,1528,784,,,,,,,,11,,
102,20.701957100,1789973485.511554500,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,4,65258,443,0x0010,1528,4881,0,,,,,,,,,,
103,20.705044800,1789973485.514642200,134,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,4,65258,443,0x0018,1528,4881,80,,,,,,,,20,,
104,20.705106700,1789973485.514704100,485,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,4,65258,443,0x0018,1608,4881,431,,,,,,,,,,
105,20.705120400,1789973485.514717800,204,eth:ethertype:ip:tcp:tls:http:json,0x0800,192.168.1.152,46.225.13.27,128,True,4,65258,443,0x0018,2039,4881,150,,,POST,/mcp,,,109,,,
106,20.865479000,1789973485.675076400,341,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0018,4881,2189,287,,,,,,,,4,,
107,20.865762000,1789973485.675359400,357,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0018,5168,2189,303,,,,,,,,4,,
108,20.865783600,1789973485.675381000,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,4,65258,443,0x0010,2189,5471,0,,,,,,,,,,
109,20.868363200,1789973485.677960600,774,eth:ethertype:ip:tcp:tls:http:json,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0018,5471,2189,720,,,,/mcp,200,105,,,,
110,20.868650000,1789973485.678247400,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,4,65258,443,0x0011,2189,6191,0,,,,,,,,,,
111,20.868848300,1789973485.678445700,78,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0018,6191,2189,24,,,,,,,,,,
112,20.868866300,1789973485.678463700,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,4,65258,443,0x0014,2190,6215,0,,,,,,,,,,
113,20.869673300,1789973485.679270700,66,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,5,65259,443,0x0002,0,0,0,,,,,,,,,,
114,20.870104000,1789973485.679701400,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0011,6215,2189,0,,,,,,,,,,
115,21.027021900,1789973485.836619300,66,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0012,0,1,0,,,,,,,,,,
116,21.027068100,1789973485.836665500,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,5,65259,443,0x0010,1,1,0,,,,,,,,,,
117,21.027516200,1789973485.837113600,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,4,443,65258,0x0010,6216,2190,0,,,,,,,,,,
118,21.039714500,1789973485.849311900,1581,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,5,65259,443,0x0018,1,1,1527,,,,,,,,1,0x0304,0x1302
119,21.198073800,1789973486.007671200,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0010,1,1528,0,,,,,,,,,,
120,21.200372200,1789973486.009969600,1514,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0010,1,1528,1460,,,,,,,,2,0x0304,0x1302
121,21.200372700,1789973486.009970100,1514,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0018,1461,1528,1460,,,,,,,,,,
122,21.200393500,1789973486.009990900,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,5,65259,443,0x0010,1528,2921,0,,,,,,,,,,
123,21.200660000,1789973486.010257400,1230,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0018,2921,1528,1176,,,,,,,,,,
124,21.201176100,1789973486.010773500,836,eth:ethertype:ip:tcp:tls:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:tls:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:tls,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0018,4097,1528,782,,,,,,,,11,,
125,21.201189700,1789973486.010787100,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,5,65259,443,0x0010,1528,4879,0,,,,,,,,,,
126,21.203711400,1789973486.013308800,134,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,5,65259,443,0x0018,1528,4879,80,,,,,,,,20,,
127,21.203777200,1789973486.013374600,485,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,5,65259,443,0x0018,1608,4879,431,,,,,,,,,,
128,21.203790400,1789973486.013387800,197,eth:ethertype:ip:tcp:tls:http:json,0x0800,192.168.1.152,46.225.13.27,128,True,5,65259,443,0x0018,2039,4879,143,,,POST,/mcp,,,132,,,
129,21.363396900,1789973486.172994300,357,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0018,4879,2182,303,,,,,,,,4,,
130,21.363682200,1789973486.173279600,357,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0018,5182,2182,303,,,,,,,,4,,
131,21.363697800,1789973486.173295200,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,5,65259,443,0x0010,2182,5485,0,,,,,,,,,,
132,21.368357800,1789973486.177955200,1100,eth:ethertype:ip:tcp:tls:http:json,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0018,5485,2182,1046,,,,/mcp,200,128,,,,
133,21.368617100,1789973486.178214500,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,5,65259,443,0x0011,2182,6531,0,,,,,,,,,,
134,21.368656200,1789973486.178253600,78,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0018,6531,2182,24,,,,,,,,,,
135,21.368670800,1789973486.178268200,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,5,65259,443,0x0014,2183,6555,0,,,,,,,,,,
136,21.369925300,1789973486.179522700,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0011,6555,2182,0,,,,,,,,,,
137,21.525326200,1789973486.334923600,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,5,443,65259,0x0010,6556,2183,0,,,,,,,,,,
138,93.058037200,1789973557.867634600,66,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,6,49743,443,0x0002,0,0,0,,,,,,,,,,
139,93.219173800,1789973558.028771200,66,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,6,443,49743,0x0012,0,1,0,,,,,,,,,,
140,93.219245000,1789973558.028842400,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,6,49743,443,0x0010,1,1,0,,,,,,,,,,
141,93.238920100,1789973558.048517500,1581,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,6,49743,443,0x0018,1,1,1527,,,,,,,,1,0x0304,0x1302
142,93.398627400,1789973558.208224800,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,6,443,49743,0x0010,1,1528,0,,,,,,,,,,
143,93.399441100,1789973558.209038500,1514,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,6,443,49743,0x0010,1,1528,1460,,,,,,,,2,0x0304,0x1302
144,93.399441600,1789973558.209039000,1514,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,6,443,49743,0x0018,1461,1528,1460,,,,,,,,,,
145,93.399465900,1789973558.209063300,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,6,49743,443,0x0010,1528,2921,0,,,,,,,,,,
146,93.399703600,1789973558.209301000,1230,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,6,443,49743,0x0018,2921,1528,1176,,,,,,,,,,
