frame.number,frame.time_relative,frame.time_epoch,frame.len,frame.protocols,eth.type,ip.src,ip.dst,ip.ttl,ip.flags.df,tcp.stream,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,http.request.method,http.request.uri,http.response.code,http.request_in,http.response_in,tls.handshake.type,tls.handshake.extensions.supported_version,tls.handshake.ciphersuite
172,106.921980600,1789973571.731578000,466,eth:ethertype:ip:tcp:tls:http,0x0800,192.168.1.152,46.225.13.27,128,True,7,52331,443,0x0018,1608,4879,412,,,DELETE,/mcp,,,176,,,
173,107.078015600,1789973571.887613000,357,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,7,443,52331,0x0018,4879,2020,303,,,,,,,,4,,
174,107.078016400,1789973571.887613800,341,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,7,443,52331,0x0018,5182,2020,287,,,,,,,,4,,
175,107.078039100,1789973571.887636500,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,7,52331,443,0x0010,2020,5469,0,,,,,,,,,,
176,107.081654500,1789973571.891251900,215,eth:ethertype:ip:tcp:tls:http,0x0800,46.225.13.27,192.168.1.152,50,True,7,443,52331,0x0018,5469,2020,161,,,,/mcp,204,172,,,,
177,107.081922400,1789973571.891519800,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,7,52331,443,0x0011,2020,5630,0,,,,,,,,,,
178,107.082734600,1789973571.892332000,78,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,7,443,52331,0x0018,5630,2020,24,,,,,,,,,,
179,107.082749000,1789973571.892346400,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,7,52331,443,0x0014,2021,5654,0,,,,,,,,,,
180,107.083149900,1789973571.892747300,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,7,443,52331,0x0011,5654,2020,0,,,,,,,,,,
181,107.237593300,1789973572.047190700,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,7,443,52331,0x0010,5655,2021,0,,,,,,,,,,
